PMID,Journal_Information,Publication_Year,Publication_Country,DOI_Number,Title,Author_List,Key_Words
37842633,Heliyon,2023,China,10.1016/j.heliyon.2023.e20684.,Depression prediction based on LassoNet-RNN model: A longitudinal study,"Jiatong Han, Hao Li, Han Lin, Pingping Wu, Shidan Wang, Juan Tu, Jing Lu",CHARLS; Characteristic variables; Depression; LassoNet-RNN
40205377,BMC psychiatry,2025,China,10.1186/s12888-025-06785-5.,Development and validation of a depression risk prediction model for rural elderly living alone,"Shasha Gao, Huijun Zhang",Depression; Living alone; Predictive model; Rural elderly
36509405,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2023,USA,10.1016/j.anai.2022.11.025.,A prediction model for asthma exacerbations after stopping asthma biologics,"Jonathan W Inselman, Molly M Jeffery, Jacob T Maddux, Regina W Lam, Nilay D Shah, Matthew A Rank, Che G Ngufor",
34841728,Clinical and translational allergy,2021,UK,10.1002/clt2.12076.,Development of childhood asthma prediction models using machine learning approaches,"Dilini M Kothalawala, Clare S Murray, Angela Simpson, Adnan Custovic, William J Tapper, S Hasan Arshad, John W Holloway, Faisal I Rezwan, STELAR/UNICORN investigators",Asthma; Kindheit; Prognose; asthma; childhood; machine learning; maschinelles Lernen; prediction
35177746,Scientific reports,2022,China,10.1038/s41598-022-06665-y.,An early prediction model for chronic kidney disease,"Jing Zhao, Yuan Zhang, Jiali Qiu, Xiaodan Zhang, Fengjiang Wei, Jiayi Feng, Chen Chen, Kai Zhang, Shuzhi Feng, Wei-Dong Li",
36959840,Computational intelligence and neuroscience,2023,Pakistan,10.1155/2023/9266889.,Machine Learning Hybrid Model for the Prediction of Chronic Kidney Disease,"Hira Khalid, Ajab Khan, Muhammad Zahid Khan, Gulzar Mehmood, Muhammad Shuaib Qureshi",
38186582,The Lancet regional health. Western Pacific,2023,China,10.1016/j.lanwpc.2023.100984.,Potential pre-COPD indicators in association with COPD development and COPD prediction models in Chinese: a prospective cohort study,"Jing Fan, Liwen Fang, Shu Cong, Yang Zhang, Xiao Jiang, Ning Wang, Yahong Chen",COPD; Pre-COPD; Prediction model
33664570,International journal of chronic obstructive pulmonary disease,2021,China,10.2147/COPD.S297380.,Development and Assessment of Prediction Models for the Development of COPD in a Typical Rural Area in Northwest China,"Yide Wang, Zheng Li, Feng-Sen Li",COPD; China; nomograms; predictive models
35672659,BMC bioinformatics,2022,China,10.1186/s12859-022-04761-4.,An artificial intelligence-based risk prediction model of myocardial infarction,"Ran Liu, Miye Wang, Tao Zheng, Rui Zhang, Nan Li, Zhongxiu Chen, Hongmei Yan, Qingke Shi",Artificial intelligence; Imbalanced data; Machine learning; Myocardial infarction
34737789,Computational and mathematical methods in medicine,2021,China,10.1155/2021/6046184.,Multitask Interactive Attention Learning Model Based on Hand Images for Assisting Chinese Medicine in Predicting Myocardial Infarction,"Qida Wang, Chenqi Zhao, Yan Qiang, Zijuan Zhao, Kai Song, Shichao Luo",
