PMID,Study Type,Disease Name,External Validation,Date Range in the Development Set,Date Range in the Validation Set,Median Follow-up Time (Years) and IQR,Mean Follow-up Time (Years) and Standard Error,Data Sources,Sample Characteristics,Number of Cases in the Development Set,Number of Controls in the Development Set,Number of Cases in the Validation Set,Number of Controls in the Validation Set,Number of Female Participants (Development),Number of Female Participants (Validation),Number of Male Participants (Development),Number of Male Participants (Validation),Age Range (Development),Age Range (Validation),Average Age and Standard Deviation (Development),Average Age and Standard Deviation (Validation),Median Age (Development) and IQR,Median Age (Validation) and IQR,Racial/Ethnic Composition (Development),Racial/Ethnic Composition (Validation)
37842633,Prospective study,Depression,No,2013–2018,N/A,N/A,5 years (SD: NA),China Health and Retirement Longitudinal Study (CHARLS) dataset,"Age ≥45 years, includes chronic diseases (e.g., hypertension, dyslipidemia, diabetes), smoking, drinking, social participation, economic and environmental factors",1255,2632,N/A,N/A,2055,N/A,1832,N/A,≥45 years,N/A,62.34 years (SD: NA),N/A,N/A,N/A,Predominantly Chinese (Han and possibly minority groups),N/A
40205377,Retrospective study,Depression,No,2011,2011,N/A,N/A,China Health and Retirement Longitudinal Study (CHARLS) 2011 dataset,Rural elderly individuals living alone,633,588,N/A,N/A,817,N/A,404,N/A,≥60 years,≥60 years,71.9 years (SD = 7.7),71.9 years (SD = 7.7),N/A,N/A,N/A,N/A
36509405,Retrospective study,Asthma,No,2003-2020,N/A,N/A,0.5 years (SD: NA),OptumLabs Data Warehouse (OLDW),"Patients with persistent asthma who received asthma biologic therapy (benralizumab, dupilumab, mepolizumab, omalizumab, reslizumab)",552,1895,N/A,N/A,1505,N/A,942,N/A,0-11 to 65+ years,N/A,47.1 years (SD: 17.1),N/A,N/A,N/A,"White: 74.13%, Hispanic: 8.75%, Black: 9.28%, Asian: 3.64%, Unknown: 4.21%",N/A
34841728,Prospective study,Childhood asthma,Yes,N/A,N/A,N/A,10 years (SD: NA),Isle of Wight Birth Cohort (IOWBC) for development; Manchester Asthma and Allergy Study (MAAS) for validation,General population-based cohort (development); general population and high-risk subgroups with parental allergic disease (validation),201,1167,132,1038,N/A,N/A,N/A,N/A,Birth to 10 years,8 to 11 years,N/A,N/A,N/A,N/A,Predominantly Caucasian,Predominantly Caucasian
35177746,Prospective study,chronic kidney disease,No,2006–2018,N/A,N/A,Up to 13 years (SD: NA),"Tianjin Medical University Chronic Disease Cohort, UK Biobank (for genetic data), UCSC Genomic Bioinformatics Database","No CKD at baseline, higher incidence of type 2 diabetes and hyperuricemia in CKD group, teachers and government employees, no family history of inherited diseases, no nephrotoxic drug usage",116,232,N/A,N/A,88,N/A,260,N/A,N/A,N/A,63.27 years (SD = 10.09),N/A,N/A,N/A,N/A,N/A
36959840,Retrospective study,Chronic Kidney Disease (CKD),No,N/A,N/A,N/A,N/A,UCI repository CKD dataset,CKD patients and healthy individuals,250,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38186582,Prospective study,Chronic Obstructive Pulmonary Disease (COPD),Yes,2014–2020,2014–2020,N/A,3.59 years,COPD Surveillance in China,"Subjects aged ≥40 years without airflow limitation, with assessed risk factors (smoking, indoor biomass/coal exposure, workplace dust/chemical exposure, history of emphysema, coronary heart disease, or hypertension)",235,3291,30,431,2039,N/A,1487,N/A,≥40 years,≥40 years,54.5 years (SD: 9.3),N/A,N/A,N/A,Chinese,Chinese
33664570,Cross-sectional study,Chronic Obstructive Pulmonary Disease (COPD),No,2018,N/A,N/A,N/A,Natural Population Cohort Study in Northwest China (SQ2017YFSF090013) and its sub-project Study on Cohort Construction and Health Follow-up of Xinjiang Multi-ethnic Natural Population (2017YFC0907203),"Rural population with smoking (14.2%), passive smoking (7.9%), coal/biofuel use (95.5%), low socioeconomic status, and some with tuberculosis history",394,2855,N/A,N/A,N/A,N/A,N/A,N/A,35–79 years,N/A,52.8 years (SD = 9.4),N/A,N/A,N/A,Multi-ethnic population in Xinjiang,N/A
35672659,Retrospective study,Myocardial infarction (MI),No,2011–2020,N/A,N/A,N/A,West China Hospital of Sichuan University (hospital medical records),MI group: Diagnosed with myocardial infarction; Control group: No myocardial infarction,14446,220369,N/A,N/A,92189,N/A,142626,N/A,MI: –92.7 years; Control: –96.0 years,N/A,MI: 65.9 years (SD = 13.4); Control: 62.4 years (SD = 16.8),N/A,N/A,N/A,N/A,N/A
34737789,Retrospective study,Acute myocardial infarction (AMI),No,N/A,N/A,N/A,N/A,Cooperative Chinese medicine company,"AMI patients; excluded images with severe peeling, scars, or unnatural palm positions",N/A,N/A,N/A,N/A,119,N/A,182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35059311,Prospective study,Lung cancer,No,2013-2019,N/A,2.95 years (IQR: 1.71–4.83),N/A,Cancer Screening Program in Urban China (CanSPUC) conducted in Henan Province,"Non-smokers (excluding former smokers), aged 40–74, no prior lung cancer",344,214420,N/A,N/A,151838,N/A,62926,N/A,40–74 years,N/A,55.19 years (SD: 8.78),N/A,N/A,N/A,"Han: 98.29%, Others: 1.71%",N/A
29621362,Prospective study,Invasive breast cancer,No,1996-2014,N/A,5.2 years (IQR: 2.4–11.1),N/A,Kaiser Permanente Washington Breast Cancer Surveillance Consortium (BCSC) registry,"Women without prior invasive breast cancer or ductal carcinoma in situ, aged 40–73 years, attending routine mammography screening",2699,129440,N/A,N/A,132139,N/A,0,N/A,40–73 years,N/A,N/A,N/A,50 years (IQR: 44–58),N/A,"White: 80.4%, Asian: 8.8%, Black: 3.9%, More than one race: 2.7%, Other: 2.6%, Unknown: 1.5%; Non-Hispanic: 93.7%, Hispanic: 5.0%, Unknown Hispanic: 1.4%",N/A
29574637,Retrospective study,Contralateral breast cancer (CBC),Yes,1995–2009 (BCSC); NA (SEER),1990–2016 (JH); 1983–2014 (MDA),JH Cases: 6 years; JH Controls: 7.4 years; MDA Cases: 4.2 years; MDA Controls: 4.8 years; IQR: NA,JH Cases: 6.4 years; JH Controls: 8 years; MDA Cases: 5.1 years; MDA Controls: 5.8 years; SD: NA,"Breast Cancer Surveillance Consortium (BCSC), Surveillance, Epidemiology, and End Results (SEER), Johns Hopkins University (JH), University of Texas MD Anderson Cancer Center (MDA)","Women aged 18–88 years with unilateral invasive breast cancer or DCIS, excluding those with CPM or CBC within 6 months",BCSC: 1921; SEER: 19835,BCSC: 75825; SEER: 804933,JH: 117; MDA: 111,JH: 5918; MDA: 5074,BCSC: 77746; SEER: 824768,JH: 6035; MDA: 5185,0,0,18–88 years,18–88 years,N/A,N/A,N/A,N/A,N/A,N/A
37511678,Retrospective study,Colorectal Cancer (CRC),No,SOCCS: 1999–ongoing; LABSS: 2017–ongoing,N/A,N/A,N/A,Study of Colorectal Cancer in Scotland (SOCCS); Lothian Bowel Symptoms Study (LABSS),"Participants with gastrointestinal symptoms (e.g., changes in bowel habits, rectal bleeding, weight loss, anaemia, abdominal pain)",1686,963,N/A,N/A,1267,N/A,1382,N/A,"≥16 years (SOCCS), ≥18 years (LABSS)",N/A,N/A,N/A,65.42 years (IQR: 56.00–73.50),N/A,Primarily European descent,N/A
33390155,Prospective study,Colorectal cancer,Yes,1992–2010,1992–2010,15.4 years (IQR: 13.2–16.9),N/A,EPIC (European Prospective Investigation into Cancer and Nutrition),"Excluded prevalent cancer, diabetes, myocardial infarction, stroke; included smokers (23.5% current, 27.4% former in development set)",3572,251910,1054,73349,172381,45144,83101,29259,19.5–70.0 years,19.9–70.0 years,51.4 years (SD: 9.7),49.7 years (SD: 9.6),N/A,N/A,N/A,N/A
36493335,Retrospective study,Prostate cancer (PCa),Yes,1993–2017,2006–2010,N/A,N/A,"UK Genetic Prostate Cancer Study (UKGPCS), UK Biobank","Development: Probands with histologically confirmed PCa (50% diagnosed by symptoms, 24% by PSA screening, 26% unknown); 30% with PCa in first- or second-degree relatives. Validation: Participants free of cancer at recruitment (except nonmelanoma skin cancers).",16633,4319,"3,456 (5-year follow-up); 7,624 (10-year follow-up)","167,394 (5-year follow-up); 163,226 (10-year follow-up)",N/A,0,20952,170850,N/A,N/A,N/A,N/A,N/A,N/A,European ancestry,White British
35875103,Retrospective study,Prostate cancer (PCa),No,2013-2021,N/A,N/A,N/A,"Electronic medical records, First Hospital of Jilin University","Male patients undergoing prostate biopsy, tPSA >4 ng/ml, abnormal DRE, or imaging findings",302,249,N/A,N/A,0,N/A,551,N/A,≥18 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33669642,Retrospective study,Gastric cancer (GC),No,2011-2014,1996–1997,N/A,N/A,"National Cancer Center, Korea; 1000 Genome Project phase 3 East Asian Ancestry (EAS)","GC cases (histologically confirmed), healthy controls; H. pylori infection, lifestyle factors (smoking, alcohol, diet)",450,1136,450,1136,750,750,836,836,N/A,N/A,Cases: 55.4 years (SD = 10.7); Controls: 52.1 years (SD = 8.5),N/A,N/A,N/A,Korean/East Asian,Korean
33223755,Prospective study,Gastric cancer,No,2015-2017,N/A,N/A,3.47 years (SD: NA),"Seven study sites in China (Cixian, Linzhou, Wuwei, Changsha, Harbin, Luoshan, Sheyang), with risk assessment in Changsha, Harbin, Luoshan, and Sheyang; linked to cancer registry and death surveillance systems","Aged 40–69 years, no history of cancer, no endoscopic examination in past 3 years, assessed for smoking, alcohol consumption, dietary habits, family history of upper gastrointestinal cancer, and gastric disease history",131,89783,N/A,N/A,49211,N/A,40703,N/A,40–69 years,N/A,53.83 years (SD: 8.04),N/A,N/A,N/A,N/A,N/A
36568745,Prospective study,Liver cancer,No,2006–2010,N/A,N/A,8.05 years (SD: NA),UK Biobank,"Participants with complete data on liver cancer outcome and risk factors, excluding those with baseline cancer diagnosis; includes various conditions such as smoking, alcohol use, diabetes, viral hepatitis, non-viral liver diseases, high cholesterol, cardiovascular disease, and family history of cancer",197,251445,N/A,N/A,135025,N/A,116617,N/A,37–73 years,N/A,56.8 years (SD: NA),N/A,50–59 years (IQR: 45–50 to 60–65),N/A,"White: 94.50%, Others: 5.23%, Unknown: 0.27%",N/A
39350987,Retrospective study,Hepatocellular carcinoma (HCC),Yes,2021-2022,2023,N/A,N/A,"The Second Hospital & Clinical Medical School, Lanzhou University","Patients with HCC or cirrhosis; excluded if on anticoagulation therapy, had HCC treatments, or had other tumors",190,195,83,82,94,47,288,118,47–59 years,47–59 years,N/A,N/A,53 years (IQR: 47–59),53 years (IQR: 48–58),N/A,N/A
