PMID,Model Numbers,Model Stage,Model Name,Model Type,Prediction Variables,AUC Values,C-index Values,Accuracy,F1-score,Calibration Values,Nomogram Application,Use of TRIPOD Guidelines
37842633,1,Development/internal validation,LassoNet-RNN,Hybrid Neural Network (LassoNet combined with Recurrent Neural Network),"Age, home tidiness, education, social participation, drinking frequency, sleeping time at night, indoor temperature, residence, gender, availability of bathing facilities, availability of health insurance, availability of broadband facilities, availability of pensions, whether owe a debt, recently hospitalized, lunch break or not, whether living with a spouse, intergenerational financial support, smoking or not, whether working in agriculture, whether self-employed or privately owned, presence of chronic diseases, availability of piped water, amount spent in a year, availability of heating, availability of gas facilities, retirement",N/A,N/A,N/A,1,N/A,No,No
40205377,1,Development/internal validation,Depression Risk Nomogram,Multivariate Logistic Regression,"Self-rated health, Pain, Frailty, Nighttime sleep duration, Poor sleep quality, Life satisfaction, Visit frequency",0.852 (95% CI: 0.826–0.877),N/A,N/A,N/A,"Hosmer-Lemeshow test: χ² = 7.6573, df = 8, p = 0.4676; Calibration plot shows high consistency",Yes,No
36509405,1,Development/internal validation,GLMnet,Elastic-Net Logistic Regression,"Pre-index exacerbation count, age at index biologic use, sex, race/ethnicity, geographic region, insurance type, household income, allergist/pulmonologist visit, Charlson comorbidity count, chronic idiopathic urticaria, atopic dermatitis, GERD, rhinitis, sinusitis, COPD, depression, outpatient visits before stopping, biologic treatment length, season of stopping, reduction in exacerbations, tapering",0.72,N/A,N/A,N/A,N/A,No,No
36509405,2,Development/internal validation,Random Forest,Random Forest,"Pre-index exacerbation count, age at index biologic use, sex, race/ethnicity, geographic region, insurance type, household income, allergist/pulmonologist visit, Charlson comorbidity count, chronic idiopathic urticaria, atopic dermatitis, GERD, rhinitis, sinusitis, COPD, depression, outpatient visits before stopping, biologic treatment length, season of stopping, reduction in exacerbations, tapering",0.72,N/A,N/A,N/A,N/A,No,No
36509405,3,Development/internal validation,Gradient Boosting Machine,Gradient Boosting Machine,"Pre-index exacerbation count, age at index biologic use, sex, race/ethnicity, geographic region, insurance type, household income, allergist/pulmonologist visit, Charlson comorbidity count, chronic idiopathic urticaria, atopic dermatitis, GERD, rhinitis, sinusitis, COPD, depression, outpatient visits before stopping, biologic treatment length, season of stopping, reduction in exacerbations, tapering",0.74,N/A,N/A,N/A,N/A,No,No
34841728,1,External validation,Childhood Asthma Prediction in Early-life (CAPE),Support Vector Machine (Radial Basis Function kernel),"maternal age, birthweight, total breastfeeding duration, age of solid food introduction, BMI at 1 year, early life wheeze, early life cough, maternal socioeconomic status",MAAS 8 years: 0.71 (0.63–0.79); MAAS 11 years: 0.71 (0.62–0.79),N/A,Validation (MAAS 8 years): 0.67 (0.60–0.74); Validation (MAAS 11 years): 0.68 (0.60–0.74) (balanced accuracy),Validation (MAAS 8 years): 0.30 (0.26–0.35); Validation (MAAS 11 years): 0.28 (0.24–0.33),Brier Score: 0.21 (Testing),No,No
34841728,2,External validation,Childhood Asthma Prediction at Preschool-age (CAPP),Support Vector Machine (Linear kernel),"maternal age, birthweight, total breastfeeding duration, age of solid food introduction, BMI at 1 year, BMI at 4 years, preschool wheeze, preschool cough, preschool nocturnal symptoms, preschool atopy status, preschool polysensitisation, maternal socioeconomic status",MAAS 8 years: 0.83 (0.75–0.90); MAAS 11 years: 0.79 (0.68–0.88),N/A,Validation (MAAS 8 years): 0.73 (0.64–0.81); Validation (MAAS 11 years): 0.73 (0.63–0.82) (balanced accuracy),Validation (MAAS 8 years): 0.49 (0.36–0.62); Validation (MAAS 11 years): 0.47 (0.33–0.62),Brier Score: 0.18 (Testing),No,No
35177746,1,Development/internal validation,NGRS4,Logistic Regression,"TGF-β (≥1.011 pg/mL), ADMA (≥0.019 μmol/L), Diabetes, BUN (≥5.9 mmol/L), Elderly (≥60 years)",0.889 (95% CI: 0.851–0.925),0.889 (95% CI: 0.851–0.925),N/A,N/A,N/A,No,No
35177746,2,Development/internal validation,GRS14,Logistic Regression,"rs17319721, rs700233, rs671, rs11864909, rs653178, rs3752462, rs13146355, rs881858, rs1153849, rs3770636, rs504915, rs16853722, rs12917707, rs1731274",0.643 (95% CI: 0.578–0.709),0.643 (95% CI: 0.578–0.709),N/A,N/A,N/A,No,No
35177746,3,Development/internal validation,Comprehensive Model,Logistic Regression,"TGF-β (≥1.011 pg/mL), ADMA (≥0.019 μmol/L), Diabetes, BUN (≥5.9 mmol/L), Elderly (≥60 years), 14 SNPs (rs17319721, rs700233, rs671, rs11864909, rs653178, rs3752462, rs13146355, rs881858, rs1153849, rs3770636, rs504915, rs16853722, rs12917707, rs1731274)",0.894 (95% CI: 0.857–0.931),0.894 (95% CI: 0.857–0.931),N/A,N/A,N/A,No,No
36959840,1,Development/internal validation,Gradient Boosting,Gradient Boosting,"Age, bp, sg, al, su, bgr, bu, sc, sod, pot, hemo, pcv, wc, rc",N/A,N/A,99%,N/A,N/A,No,No
36959840,2,Development/internal validation,Gaussian Naïve Bayes,Gaussian Naïve Bayes,"Age, bp, sg, al, su, bgr, bu, sc, sod, pot, hemo, pcv, wc, rc",N/A,N/A,93%,N/A,N/A,No,No
36959840,3,Development/internal validation,N/A,Decision Tree,"Age, bp, sg, al, su, bgr, bu, sc, sod, pot, hemo, pcv, wc, rc",N/A,N/A,96%,N/A,N/A,No,No
36959840,4,Development/internal validation,Random Forest,Random Forest,"Age, bp, sg, al, su, bgr, bu, sc, sod, pot, hemo, pcv, wc, rc",N/A,N/A,98%,N/A,N/A,No,No
36959840,5,Development/internal validation,Hybrid Model,"Stacking Ensemble (GNB, GB, DT with RF meta-classifier)","Age, bp, sg, al, su, bgr, bu, sc, sod, pot, hemo, pcv, wc, rc",N/A,N/A,100%,N/A,N/A,No,No
38186582,1,Development/internal validation,Model 4,Cox proportional hazard regression,"Age, Sex (male), sSAD, Indoor exposure to biomass",N/A,"0.7670 (95% CI: 0.7335–0.8005), Corrected: 0.7635 (95% CI: 0.7188–0.8082)",N/A,N/A,Calibration plot shows good concordance; AIC: 3184.793,Yes,No
